"muni_code" "ayear" "cover_class" "area_ha"
"2101707" "1993" 5 3460.409
"2101707" "1993" 11 2340.829
"2101707" "1993" 12 19055.909
"2101707" "1993" 15 0.625
"2101707" "1993" 21 32.414
"2101707" "1993" 23 51829.579
"2101707" "1993" 24 658.028
"2101707" "1993" 25 4098.359
"2101707" "1993" 32 893.761
"2101707" "1993" 33 5750.084
"2101707" "1994" 3 121231.402
"2101707" "1994" 4 94789.363
"2101707" "1994" 5 3585.343
"2101707" "1994" 11 2295.017
"2101707" "1994" 12 18273.261
"2101707" "1994" 15 1.072
"2101707" "1994" 21 10.269
"2101707" "1994" 23 51334.555
"2101707" "1994" 24 661.51
"2101707" "1994" 25 4867.466
"2101707" "1994" 32 348.382
"2101707" "1994" 33 6321.896
"2101707" "1995" 3 121049.754
"2101707" "1995" 4 94739.637
"2101707" "1995" 5 3616.688
"2101707" "1995" 11 2324.395
"2101707" "1995" 12 18494.2
"2101707" "1995" 15 1.25
"2101707" "1995" 21 8.304
"2101707" "1995" 23 51784.763
"2101707" "1995" 24 663.475
"2101707" "1995" 25 4522.547
"2101707" "1995" 32 299.622
"2101707" "1995" 33 6258.126
"2101707" "1996" 3 120709.456
"2101707" "1996" 4 94748.396
"2101707" "1996" 5 3597.041
"2101707" "1996" 11 2295.37
"2101707" "1996" 12 18674.982
"2101707" "1996" 15 1.875
"2101707" "1996" 21 17.948
"2101707" "1996" 23 53416.056
"2101707" "1996" 24 680.352
"2101707" "1996" 25 3114.341
"2101707" "1996" 32 377.051
"2101707" "1996" 33 6290.559
"2101707" "1997" 3 120082.272
"2101707" "1997" 4 95310.464
"2101707" "1997" 5 3596.327
"2101707" "1997" 11 2142.486
"2101707" "1997" 12 19201.79
"2101707" "1997" 15 4.108
"2101707" "1997" 21 5
"2101707" "1997" 23 54108.904
"2101707" "1997" 24 716.964
"2101707" "1997" 25 2534.557
"2101707" "1997" 32 712.744
"2101707" "1997" 33 5524.426
"2101707" "1998" 3 120278.439
"2101707" "1998" 4 95280.379
"2101707" "1998" 5 3573.912
"2101707" "1998" 11 2121.231
"2101707" "1998" 12 19481.441
"2101707" "1998" 15 4.732
"2101707" "1998" 21 21.699
"2101707" "1998" 23 53528.493
"2101707" "1998" 24 731.519
"2101707" "1998" 25 2932.606
"2101707" "1998" 32 945.383
"2101707" "1998" 33 4988.408
"2101707" "1999" 3 119589.85
"2101707" "1999" 4 95402.281
"2101707" "1999" 5 3571.948
"2101707" "1999" 11 2401.904
"2101707" "1999" 12 18599.233
