"CD_MUN","class_values","year","area_ha"
"2108058",33,2020,2435.85655194971
"2108058",0,2019,387.932253898922
"2108058",3,2019,34400.4198686109
"2108058",4,2019,26149.132464672
"2108058",5,2019,2003.59593350988
"2108058",11,2019,2821.01812137473
"2108058",12,2019,18494.9348813806
"2108058",15,2019,1617.01915193272
"2108058",21,2019,60.9868117424849
"2108058",23,2019,7664.64889297812
"2108058",24,2019,293.437463922204
"2108058",25,2019,1191.72459679227
"2108058",32,2019,258.167396843991
"2108058",33,2019,2930.04243822875
"2103406",3,1985,80237.8033902744
"2103406",4,1985,15593.8081074925
"2103406",11,1985,195.614441257001
"2103406",12,1985,23.269896547609
"2103406",21,1985,649.738438206591
"2103406",24,1985,452.117613625953
"2103406",25,1985,168.244114207066
"2103406",33,1985,530.488526234952
"2103406",3,1986,80065.6399721845
"2103406",4,1986,15815.1886935566
"2103406",11,1986,189.105877069135
"2103406",12,1986,12.6600856973378
"2103406",21,1986,625.754512232211
"2103406",24,1986,495.448427318768
"2103406",25,1986,114.481505690229
"2103406",33,1986,532.805454093219
"2103406",3,1987,79483.0277023393
"2103406",4,1987,16474.1228076696
"2103406",11,1987,173.592140429099
"2103406",12,1987,11.9469783741649
"2103406",21,1987,599.273733536352
"2103406",24,1987,507.038878566928
"2103406",25,1987,79.9769578213971
"2103406",33,1987,522.10532912782
"2103406",3,1988,79558.3944053567
"2103406",4,1988,16399.4704869509
"2103406",11,1988,160.039527317511
"2103406",12,1988,11.6795267235901
"2103406",21,1988,589.020596612596
"2103406",24,1988,551.528338915618
"2103406",25,1988,73.6467997360138
"2103406",33,1988,507.30484625256
"2103406",3,1989,79570.8809640024
"2103406",4,1989,16396.0800871691
"2103406",11,1989,148.092193438214
"2103406",12,1989,11.5012070659481
"2103406",15,1989,0.980789493202418
"2103406",21,1989,579.836628115055
"2103406",24,1989,564.634316038947
"2103406",25,1989,60.1836033634879
"2103406",33,1989,518.894739176155
"2103406",3,1990,79530.2331806831
"2103406",4,1990,16416.1339261132
"2103406",11,1990,141.494262025639
"2103406",12,1990,11.4120536247792
"2103406",15,1990,1.60487074626368
"2103406",21,1990,607.296367907486
"2103406",24,1990,575.154870098945
"2103406",25,1990,78.3716163369721
"2103406",33,1990,489.38338032589
"2103406",3,1991,79294.8425069512
"2103406",4,1991,16636.9939659526
"2103406",11,1991,140.246001350471
"2103406",12,1991,11.3228993260834
"2103406",15,1991,3.47720466905814
"2103406",21,1991,625.038673472035
"2103406",24,1991,586.745315836547
"2103406",25,1991,87.0192390046407
"2103406",33,1991,465.398721301547
"2103406",3,1992,79467.4037947395
"2103406",4,1992,16450.702999843
"2103406",11,1992,138.106209269278
"2103406",12,1992,12.125293240788
"2103406",15,1992,1.15909623252247
"2103406",21,1992,638.144553492149
"2103406",24,1992,599.673182091748
"2103406",25,1992,78.9055792140115
"2103406",33,1992,464.863819740297
"2103406",3,1993,79324.0365761994
"2103406",4,1993,16583.7268112604
"2103406",11,1993,135.342367001398
"2103406",12,1993,11.8578282083837
"2103406",15,1993,0.26744056015294
"2103406",21,1993,656.779493664701
"2103406",24,1993,601.278029016848
"2103406",25,1993,66.422885010515
"2103406",33,1993,471.373096938538
"2103406",3,1994,78934.8358924284
"2103406",4,1994,16918.7183884997
"2103406",11,1994,137.125636145874
"2103406",12,1994,11.8578282083837
"2103406",15,1994,2.496522767861
"2103406",21,1994,697.615187242036
"2103406",24,1994,614.562452820187
"2103406",25,1994,71.5047420461586
"2103406",33,1994,462.367877705611
"2103406",3,1995,78883.1153364407
"2103406",4,1995,16953.4974997536
"2103406",11,1995,135.253384459186
"2103406",12,1995,11.8578282083837
"2103406",15,1995,30.3133401245961
"2103406",21,1995,664.895421343335
"2103406",24,1995,616.613059755917
"2103406",25,1995,84.075779650598
"2103406",33,1995,471.46287812843
"2103406",3,1996,78536.8475843041
"2103406",4,1996,17318.3094409589
"2103406",11,1996,132.311470038359
"2103406",12,1996,12.6602209100535
"2103406",15,1996,25.767084528842
"2103406",21,1996,656.158600508411
"2103406",24,1996,631.769777694605
"2103406",25,1996,58.6662945056085
"2103406",33,1996,478.594054437044
"2103406",3,1997,78576.1720384122
"2103406",4,1997,17265.2557209071
"2103406",11,1997,131.50882684913
"2103406",12,1997,11.9469833691981
"2103406",15,1997,42.885505653058
"2103406",21,1997,627.894313372833
"2103406",24,1997,641.666187912345
"2103406",25,1997,55.6350509391481
"2103406",33,1997,498.119900467706
"2103406",3,1998,78622.0094638617
"2103406",4,1998,17209.613965091
"2103406",11,1998,131.95469514112
"2103406",12,1998,12.5711430832732
"2103406",15,1998,86.3022425211724
"2103406",21,1998,599.097156348985
"2103406",24,1998,653.524112038677
"2103406",25,1998,59.2012324792536
"2103406",33,1998,476.810517315441
"2103406",3,1999,79008.1695244471
"2103406",4,1999,16830.2313034424
"2103406",11,1999,132.667725532103
"2103406",12,1999,12.660302038574
"2103406",15,1999,135.242273217219
"2103406",21,1999,514.136088086651
"2103406",24,1999,676.705050432594
"2103406",25,1999,50.9092117735114
"2103406",33,1999,490.363048893534
"2103406",3,2000,79126.9228412147
"2103406",4,2000,16708.3571394689
"2103406",11,2000,127.942354921426
"2103406",12,2000,12.8386630917415
"2103406",15,2000,137.648365638036
"2103406",21,2000,503.348697082106
"2103406",24,2000,688.652064069619
"2103406",25,2000,45.5596512116136
"2103406",33,2000,499.814751161525
"2103406",3,2001,79318.0865430503
"2103406",4,2001,16531.4583436912
"2103406",9,2001,8.1140175519798
"2103406",11,2001,125.713404746499
"2103406",12,2001,11.8578290408134
"2103406",15,2001,270.122736674966
"2103406",21,2001,360.621241726043
"2103406",24,2001,698.102739596092
"2103406",25,2001,36.822476236807
"2103406",33,2001,490.185195548294
"2103406",3,2002,79535.2179713909
"2103406",4,2002,16259.3165259629
"2103406",9,2002,16.3172326223101
"2103406",11,2002,125.980951254385
"2103406",12,2002,13.908707498627
"2103406",15,2002,399.56597229186
"2103406",21,2002,242.678419033167
"2103406",24,2002,708.444996337416
"2103406",25,2002,44.93602955443
"2103406",33,2002,504.717721916457
"2103406",3,2003,79251.6253132949
"2103406",4,2003,16508.7653519734
"2103406",9,2003,21.0430093510965
"2103406",11,2003,124.464965784244
"2103406",12,2003,13.8195980076838
"2103406",15,2003,448.151738798637
"2103406",21,2003,240.007109672243
"2103406",24,2003,711.743806101553
"2103406",25,2003,39.4077820634261
"2103406",33,2003,492.055852815221
"2103406",3,2004,78508.3865100405
"2103406",4,2004,17150.9022670759
"2103406",9,2004,22.3804421714816
"2103406",11,2004,127.496106987905
"2103406",12,2004,13.8195902140852
"2103406",15,2004,456.799958295652
"2103406",21,2004,263.273755779791
"2103406",24,2004,725.206496025113
